,2020,2019,2018,2017,2016,2015,2010,2005,2000,1995,1990,1985,1980,1975,1970,1965,1960,1955
Tanzania,"59,734,218","58,005,463","56,313,438","54,660,339","53,049,230","51,482,633","44,346,525","38,450,320","33,499,180","29,649,135","25,203,845","21,633,796","18,538,259","15,885,229","13,535,481","11,634,832","10,052,152","8,729,662"
South Africa,"59,308,690","58,558,270","57,792,518","57,009,756","56,207,646","55,386,367","51,216,964","47,880,601","44,967,708","41,435,758","36,800,509","32,678,874","28,556,769","25,195,187","22,069,776","19,384,841","17,099,840","15,206,502"
Myanmar,"54,409,800","54,045,420","53,708,320","53,382,523","53,045,201","52,680,726","50,600,818","48,949,924","46,719,701","43,901,598","41,335,199","37,977,086","34,224,313","30,611,095","27,269,069","24,259,359","21,736,942","19,550,071"
Kenya,"53,771,296","52,573,973","51,392,565","50,221,142","49,051,534","47,878,336","42,030,676","36,624,895","31,964,557","27,768,296","23,724,579","19,877,083","16,417,197","13,575,907","11,301,394","9,530,173","8,120,080","6,987,658"
South Korea,"51,269,185","51,225,308","51,171,706","51,096,415","50,983,457","50,823,093","49,545,636","48,701,073","47,379,241","45,292,522","42,918,419","40,804,402","38,045,607","35,378,661","32,195,681","28,895,558","25,329,515","21,514,570"
Colombia,"50,882,891","50,339,443","49,661,048","48,909,839","48,175,052","47,520,667","45,222,700","42,647,723","39,629,968","36,421,438","33,102,575","29,951,201","26,900,506","24,065,507","21,480,065","18,725,245","16,057,724","13,775,000"
Spain,"46,754,778","46,736,776","46,692,858","46,647,428","46,634,140","46,671,926","46,931,015","44,019,123","40,824,754","39,787,419","39,202,525","38,733,876","37,698,196","35,879,209","33,883,749","32,146,263","30,402,411","29,048,395"
Uganda,"45,741,007","44,269,594","42,729,036","41,166,588","39,649,166","38,225,453","32,428,167","27,684,585","23,650,172","20,413,152","17,354,392","14,559,355","12,442,334","10,737,403","9,405,600","7,986,066","6,767,095","5,888,793"
Argentina,"45,195,774","44,780,677","44,361,150","43,937,140","43,508,460","43,075,416","40,895,752","38,892,931","36,870,787","34,828,170","32,618,651","30,216,279","27,896,528","25,865,776","23,880,561","22,159,650","20,481,779","18,789,418"
Algeria,"43,851,044","43,053,054","42,228,408","41,389,189","40,551,392","39,728,025","35,977,455","33,149,724","31,042,235","28,757,785","25,758,869","22,431,502","19,221,665","16,607,707","14,464,985","12,550,885","11,057,863","9,774,283"
